booking_id,order_id,customer_key,route_key,date_key,seat_class,order_status,price,ticket_count
1,1,6663,17,2026-06-14,business,created,57780.01,1
2,2,8273,38,2025-03-27,economy,paid,23599.05,1
3,3,1562,25,2025-04-17,business,created,75301.44,1
4,4,175,8,2026-07-11,business,cancelled,51034.66,1
5,5,9603,1,2026-03-31,economy,paid,30220.83,1
6,5,9603,25,2026-03-25,economy,paid,23813.23,1
7,6,4005,33,2024-08-15,economy,paid,4662.53,1
8,6,4005,18,2024-08-31,economy,paid,45626.61,1
9,7,8149,19,2025-11-11,economy,created,3472.10,1
10,8,6808,10,2026-08-06,economy,created,14108.83,1
11,9,6419,22,2025-07-08,economy,paid,2082.24,1
12,9,6419,13,2025-07-15,economy,paid,10744.66,1
13,10,2195,27,2026-03-27,economy,paid,52630.13,1
14,10,2195,48,2026-03-18,economy,paid,25420.50,1
15,11,1784,27,2026-07-16,business,paid,98749.75,1
16,11,1784,52,2026-07-10,economy,paid,16238.60,1
17,12,3191,1,2026-02-25,economy,paid,21609.17,1
18,13,9939,27,2024-12-02,economy,paid,50911.28,1
19,14,4506,40,2025-08-24,economy,paid,49756.50,1
20,14,4506,2,2025-08-29,economy,paid,13933.23,1
21,15,1512,37,2025-11-11,economy,paid,4707.64,1
22,16,2131,19,2025-03-29,business,cancelled,9747.44,1
23,16,2131,38,2025-02-12,business,cancelled,46455.01,1
24,17,6011,51,2025-09-22,economy,paid,9687.97,1
25,17,6011,53,2025-09-05,business,paid,13685.64,1
26,18,7024,38,2025-06-18,economy,created,23678.23,1
27,18,7024,40,2025-06-22,economy,created,48953.73,1
28,19,1909,31,2026-08-02,business,cancelled,73431.22,1
29,19,1909,50,2026-08-05,economy,cancelled,18085.56,1
30,19,1909,23,2026-08-15,economy,cancelled,48076.93,1
31,20,908,1,2025-03-14,business,paid,50626.08,1
32,21,9953,51,2026-05-10,economy,created,13915.27,1
33,22,2524,55,2024-08-24,economy,paid,7089.29,1
34,23,3488,55,2026-04-14,economy,created,7198.92,1
35,23,3488,17,2026-04-11,economy,created,19578.75,1
36,24,5580,15,2025-08-19,economy,paid,5936.11,1
37,25,8341,24,2025-01-07,economy,paid,12664.30,1
38,26,7953,27,2024-10-20,business,paid,83469.74,1
39,26,7953,53,2024-11-15,economy,paid,6027.40,1
40,27,3455,49,2025-02-27,economy,paid,12173.92,1
41,28,1898,12,2025-01-14,economy,paid,29478.16,1
42,29,3180,1,2025-09-12,economy,paid,29463.55,1
43,30,9016,45,2024-09-22,economy,paid,41577.23,1
44,31,9924,3,2026-07-01,business,cancelled,15739.74,1
45,32,4741,30,2025-10-30,economy,cancelled,3908.10,1
46,33,4182,54,2024-12-14,economy,paid,34436.65,1
47,34,9384,56,2025-08-20,economy,created,11020.32,1
48,34,9384,17,2025-07-16,economy,created,17719.01,1
49,35,9056,10,2024-10-24,business,paid,37122.40,1
50,35,9056,31,2024-10-15,business,paid,98759.53,1
51,36,1469,48,2025-02-26,economy,paid,26074.57,1
52,37,2408,12,2025-09-05,economy,paid,23809.02,1
53,38,349,45,2025-03-02,business,paid,95723.52,1
54,39,2870,34,2026-03-17,economy,paid,12851.53,1
55,40,6682,50,2024-12-03,economy,cancelled,17900.91,1
56,41,2540,29,2025-06-28,economy,paid,7945.38,1
57,42,6844,6,2026-06-24,business,paid,76296.87,1
58,43,3538,15,2025-09-06,economy,cancelled,4692.06,1
59,44,8520,45,2024-09-29,business,paid,131139.60,1
60,45,3998,45,2025-01-04,business,created,85093.34,1
61,46,51,3,2025-08-09,business,cancelled,14001.49,1
