customer_key,r_score,f_score,m_score,monetary,segment
1872,1,1,1,1812.87,At Risk
1603,1,1,1,1831.48,At Risk
735,5,1,1,1894.33,Recent
6442,3,1,1,2038.92,Regular
6155,1,1,1,2106.39,At Risk
5953,1,1,1,2133.03,At Risk
5730,1,1,1,2373.47,At Risk
5238,1,1,1,2461.47,At Risk
3387,2,1,1,2464.71,At Risk
5263,2,1,1,2492.96,At Risk
7348,3,1,1,2518.08,Regular
7417,2,1,1,2539.48,At Risk
8686,3,1,1,2557.45,Regular
208,1,1,1,2575.06,At Risk
4235,1,1,1,2631.05,At Risk
4179,2,1,1,2675.93,At Risk
574,1,1,1,2762.53,At Risk
7746,1,1,1,2795.77,At Risk
6818,5,1,1,2816.42,Recent
75,1,1,1,2950.76,At Risk
5758,1,1,1,3029.87,At Risk
6154,2,1,1,3062.39,At Risk
1224,1,1,1,3186.55,At Risk
8369,4,1,1,3312.50,Recent
5446,3,1,1,3321.39,Regular
112,2,1,1,3340.51,At Risk
6173,5,1,1,3492.38,Recent
2724,1,1,1,3508.21,At Risk
8993,3,1,1,3540.25,Regular
580,2,1,1,3567.36,At Risk
173,1,1,1,3597.48,At Risk
5275,5,1,1,3656.31,Recent
5236,3,1,1,3682.58,Regular
4866,1,1,1,3710.06,At Risk
8750,3,1,1,3729.55,Regular
5218,2,1,1,3737.82,At Risk
2372,2,1,1,3738.34,At Risk
1258,1,1,1,3745.86,At Risk
7524,2,1,1,3777.05,At Risk
715,2,1,1,3795.73,At Risk
8665,2,1,1,3880.12,At Risk
4466,1,1,1,3885.96,At Risk
5491,1,1,1,3890.75,At Risk
5438,1,1,1,3896.47,At Risk
1800,3,1,1,3977.54,Regular
991,1,1,1,3991.03,At Risk
5168,1,1,1,4008.06,At Risk
7210,3,1,1,4098.18,Regular
4915,2,2,1,4141.00,At Risk
3123,3,1,1,4185.17,Regular
8478,1,1,1,4200.09,At Risk
8551,4,1,1,4244.78,Recent
1431,1,1,1,4256.35,At Risk
2774,2,1,1,4323.66,At Risk
2182,1,1,1,4365.11,At Risk
5810,2,1,1,4400.78,At Risk
9907,5,1,1,4415.28,Recent
3894,1,1,1,4424.28,At Risk
7705,1,1,1,4425.80,At Risk
4637,1,1,1,4455.79,At Risk
1968,5,1,1,4457.96,Recent
5894,1,1,1,4461.46,At Risk
9615,1,2,1,4542.94,At Risk
2660,1,1,1,4552.64,At Risk
99,1,1,1,4554.31,At Risk
303,1,1,1,4605.59,At Risk
7,5,1,1,4634.71,Recent
5546,1,1,1,4652.79,At Risk
7162,1,1,1,4655.65,At Risk
6063,1,1,1,4677.92,At Risk
8477,1,1,1,4679.65,At Risk
2891,5,1,1,4682.58,Recent
7635,1,1,1,4682.77,At Risk
6459,3,1,1,4735.83,Regular
7107,2,1,1,4781.52,At Risk
1332,1,1,1,4916.93,At Risk
7100,1,1,1,4991.48,At Risk
4272,2,1,1,5041.39,At Risk
9450,4,1,1,5084.46,Recent
5224,1,1,1,5103.51,At Risk
1847,4,1,1,5167.45,Recent
3146,1,1,1,5176.21,At Risk
1188,1,1,1,5207.55,At Risk
9883,1,1,1,5312.29,At Risk
9333,1,1,1,5330.25,At Risk
4526,1,1,1,5427.33,At Risk
5232,1,1,1,5628.23,At Risk
8006,1,1,1,5635.20,At Risk
1792,1,1,1,5818.26,At Risk
8484,2,1,1,5828.95,At Risk
3234,2,1,1,5904.86,At Risk
8600,3,2,1,6037.51,Regular
2631,1,1,1,6058.76,At Risk
2446,5,1,1,6107.28,Recent
5585,2,1,1,6107.66,At Risk
6967,4,1,1,6155.70,Recent
1318,5,1,1,6168.79,Recent
7491,1,1,1,6262.02,At Risk
3342,1,1,1,6284.16,At Risk
8304,2,1,1,6383.33,At Risk
7707,1,1,1,6421.75,At Risk
7827,1,1,1,6450.90,At Risk
6959,4,1,1,6600.91,Recent
9834,1,1,1,6692.06,At Risk
4854,5,1,1,6703.37,Recent
2006,3,1,1,6705.25,Regular
9646,4,1,1,6746.10,Recent
9482,2,1,1,6839.71,At Risk
1137,1,1,1,6840.26,At Risk
6064,1,1,1,6841.23,At Risk
5405,2,2,1,6841.40,At Risk
921,5,1,1,6922.85,Recent
6846,5,1,1,6955.86,Recent
8029,4,2,1,7129.15,Recent
5989,1,1,1,7172.14,At Risk
6988,3,2,1,7173.64,Regular
6018,5,1,1,7204.60,Recent
1821,2,1,1,7230.92,At Risk
1520,1,2,1,7246.29,At Risk
5092,3,1,1,7313.45,Regular
7509,1,1,1,7453.15,At Risk
3787,1,1,1,7473.75,At Risk
4445,1,1,1,7476.40,At Risk
4365,3,1,1,7506.84,Regular
3830,3,1,1,7508.02,Regular
2007,3,1,1,7715.81,Regular
5571,3,1,1,7768.95,Regular
3776,1,1,1,7802.67,At Risk
9846,1,1,1,7824.46,At Risk
5531,1,1,1,7910.78,At Risk
6635,1,1,1,7914.44,At Risk
4904,1,1,1,7973.18,At Risk
6112,2,1,1,8065.87,At Risk
9377,2,1,1,8127.33,At Risk
8609,3,1,1,8155.41,Regular
9490,1,1,1,8233.44,At Risk
1298,3,1,1,8283.98,Regular
4994,1,1,1,8313.87,At Risk
282,1,1,1,8342.82,At Risk
8582,4,1,1,8424.61,Recent
4220,1,1,1,8427.16,At Risk
1462,1,2,1,8434.24,At Risk
2515,1,1,1,8458.98,At Risk
5658,1,1,1,8462.13,At Risk
1133,1,1,1,8473.62,At Risk
599,5,1,1,8527.60,Recent
9688,1,1,1,8529.88,At Risk
3081,5,1,1,8575.30,Recent
2029,1,1,1,8598.44,At Risk
2152,3,2,1,8637.73,Regular
3287,3,1,1,8658.08,Regular
4048,1,1,1,8817.50,At Risk
254,4,1,1,8844.03,Recent
1536,1,1,1,8866.41,At Risk
430,1,1,1,8874.80,At Risk
4093,1,1,1,8921.99,At Risk
3520,1,1,1,8978.35,At Risk
9569,3,2,1,9004.99,Regular
7625,4,2,1,9014.64,Recent
3431,3,1,1,9040.15,Regular
572,1,1,1,9212.92,At Risk
7837,1,1,1,9265.87,At Risk
1257,1,1,1,9339.44,At Risk
2761,2,1,1,9406.59,At Risk
6012,5,1,1,9432.61,Recent
4946,2,1,1,9460.89,At Risk
7986,2,1,1,9461.43,At Risk
979,2,1,1,9496.67,At Risk
3790,1,1,1,9500.25,At Risk
3173,1,1,1,9534.97,At Risk
1754,5,1,1,9553.16,Recent
9513,3,1,1,9574.21,Regular
1239,5,1,1,9618.01,Recent
1322,1,2,1,9663.88,At Risk
6013,1,1,1,9689.91,At Risk
2673,1,1,1,9714.31,At Risk
4629,3,1,1,9716.42,Regular
7796,3,1,1,9727.97,Regular
8388,1,1,1,9729.15,At Risk
4894,1,1,1,9771.07,At Risk
6841,1,1,1,9776.60,At Risk
827,1,1,1,9822.29,At Risk
9655,2,1,1,9845.23,At Risk
6929,1,1,1,9901.27,At Risk
3072,1,1,1,9905.53,At Risk
3204,1,1,1,9917.21,At Risk
7128,1,1,1,9918.39,At Risk
4167,1,2,1,9938.22,At Risk
4280,1,1,1,9986.78,At Risk
7605,1,1,1,10002.15,At Risk
1850,3,1,1,10085.68,Regular
7152,1,1,1,10155.72,At Risk
348,2,1,1,10173.99,At Risk
6462,2,1,1,10180.59,At Risk
3078,1,1,1,10183.45,At Risk
3113,1,1,1,10184.62,At Risk
8516,3,1,1,10215.68,Regular
5958,1,1,1,10227.54,At Risk
9765,1,1,1,10248.94,At Risk
642,1,1,1,10278.64,At Risk
2390,4,1,1,10287.86,Recent
5200,2,1,1,10297.59,At Risk
6407,4,1,1,10342.17,Recent
9835,1,1,1,10345.33,At Risk
6823,1,1,1,10351.47,At Risk
1705,1,1,1,10368.44,At Risk
678,3,1,1,10383.37,Regular
8496,1,1,1,10431.62,At Risk
6029,1,1,1,10448.85,At Risk
79,1,1,1,10472.44,At Risk
7330,1,1,1,10480.68,At Risk
